Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive,Contacts_Count,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct
Existing Customer,30,M,1,High School,Married,$60K - $80K,Blue,17,3,3,2,7906,1631,1946,45
Existing Customer,46,M,3,Uneducated,Divorced,$60K - $80K,Blue,34,4,3,0,11501,713,1481,41
Existing Customer,29,M,0,Post-Graduate,Single,$40K - $60K,Blue,19,4,1,2,13632,1482,2168,42
Existing Customer,37,F,3,Uneducated,Married,Less than $40K,Blue,27,6,1,3,2229,1791,1583,32
Existing Customer,51,F,1,High School,Married,Less than $40K,Blue,40,4,1,1,5158,2190,1229,34
Existing Customer,31,M,0,Graduate,Married,$40K - $60K,Blue,21,3,3,0,2158,1729,1718,42
Attrited Customer,57,M,1,Graduate,Single,$80K - $120K,Blue,36,2,3,2,10244,861,1127,29
Existing Customer,44,M,3,Graduate,Married,$40K - $60K,Blue,27,4,2,3,10747,1603,1340,25
Attrited Customer,53,M,2,High School,Married,$120K +,Blue,46,4,3,1,7474,0,732,21
Existing Customer,32,F,3,Graduate,Single,Less than $40K,Blue,36,3,1,3,3555,0,2346,71
Existing Customer,53,M,1,Graduate,Married,$80K - $120K,Blue,38,6,3,2,22140,733,1580,45
Attrited Customer,54,M,3,High School,Married,$80K - $120K,Blue,36,2,3,4,9457,350,1196,28
Existing Customer,54,M,2,Graduate,Married,$60K - $80K,Blue,43,6,3,1,6224,1892,2187,58
Existing Customer,37,F,4,High School,Single,$40K - $60K,Blue,36,5,3,1,3093,2517,1371,23
Existing Customer,48,F,2,Graduate,Married,$40K - $60K,Blue,42,4,3,3,4076,0,1235,37
Existing Customer,37,M,1,High School,Single,$60K - $80K,Blue,26,4,3,2,7349,2517,2701,60
Existing Customer,34,M,2,High School,Married,$60K - $80K,Blue,28,3,3,3,2853,2420,1750,47
Existing Customer,46,M,3,Graduate,Divorced,$80K - $120K,Blue,38,3,2,1,8475,1385,1381,40
Existing Customer,31,F,0,Graduate,Married,Less than $40K,Blue,22,3,3,2,2917,2127,1831,36
Attrited Customer,46,F,3,Graduate,Single,Less than $40K,Blue,28,2,2,3,8551,1067,1097,32
Existing Customer,47,M,3,High School,Married,$60K - $80K,Blue,36,6,2,3,10569,0,1682,44
Existing Customer,47,F,3,Graduate,Married,Less than $40K,Blue,36,5,2,2,7051,0,1451,37
Existing Customer,47,M,4,Graduate,Single,$80K - $120K,Blue,41,5,3,2,26442,1642,1403,40
Existing Customer,64,F,0,Graduate,Married,Less than $40K,Blue,51,6,3,1,4920,1142,1420,31
Existing Customer,65,F,0,High School,Married,Less than $40K,Blue,36,3,3,2,1438.3,747,948,24
Existing Customer,49,F,3,Post-Graduate,Married,$40K - $60K,Blue,41,6,2,2,1869,758,1549,34
Attrited Customer,54,M,5,High School,Married,$60K - $80K,Blue,36,5,2,3,14539,0,965,26
Existing Customer,46,M,3,Uneducated,Single,$120K +,Blue,36,5,1,3,26977,1961,1958,41
Existing Customer,48,F,1,Doctorate,Married,Less than $40K,Blue,39,3,3,3,4844,1576,1489,48
Attrited Customer,41,M,2,Uneducated,Married,$80K - $120K,Blue,33,5,3,3,8004,1452,1084,32
Existing Customer,39,F,2,Uneducated,Single,Less than $40K,Blue,35,5,3,3,9235,1479,1537,49
Existing Customer,44,M,0,Uneducated,Married,Less than $40K,Blue,24,5,3,0,8837,2103,3753,60
Existing Customer,26,F,1,Graduate,Single,$40K - $60K,Blue,20,6,3,3,1438.3,673,2167,48
Existing Customer,47,M,4,High School,Married,$60K - $80K,Blue,34,5,2,3,4592,1635,1772,52
Attrited Customer,57,F,2,High School,Married,$40K - $60K,Blue,45,2,1,3,1438.3,0,1254,35
Existing Customer,54,M,4,Graduate,Married,$60K - $80K,Blue,49,3,1,2,5269,1099,2195,63
Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,44,3,2,3,12163,2082,2649,56
Existing Customer,34,F,3,Uneducated,Married,$40K - $60K,Blue,28,5,1,3,2799,1762,1817,39
Existing Customer,47,M,4,Doctorate,Single,$80K - $120K,Blue,36,3,1,1,18037,0,1387,36
Existing Customer,50,M,2,Graduate,Single,$80K - $120K,Blue,35,3,3,1,2514,1521,1636,36
Attrited Customer,43,M,3,High School,Married,$60K - $80K,Blue,36,1,3,3,8663,288,916,33
Existing Customer,44,F,4,High School,Divorced,Less than $40K,Blue,36,5,3,3,2333,1485,1198,31
Existing Customer,34,F,4,Graduate,Divorced,$40K - $60K,Blue,26,5,5,3,3038,1539,2189,54
Attrited Customer,56,M,3,High School,Single,$60K - $80K,Blue,45,2,1,3,8512,0,811,27
Existing Customer,47,M,1,Graduate,Married,$60K - $80K,Blue,36,4,3,2,19063,1714,1270,21
Existing Customer,53,M,4,Graduate,Single,$80K - $120K,Blue,33,5,3,3,5376,1177,1840,53
Existing Customer,39,F,2,High School,Married,$40K - $60K,Blue,29,6,1,1,9173,2047,1807,33
Existing Customer,44,M,2,Graduate,Married,$80K - $120K,Silver,35,4,1,3,34516,1726,1729,52
Existing Customer,46,M,2,Graduate,Married,$60K - $80K,Blue,36,3,2,3,15405,1691,1763,44
Existing Customer,35,M,1,High School,Married,$80K - $120K,Blue,25,6,1,2,23991,2307,1843,43
Existing Customer,61,F,1,Graduate,Married,Less than $40K,Blue,54,3,2,2,3102,2091,1977,50
Existing Customer,40,F,3,Graduate,Divorced,Less than $40K,Blue,29,5,2,2,3170,2517,2027,49
Existing Customer,35,M,2,Uneducated,Married,Less than $40K,Blue,36,4,3,3,3131,629,1483,31
Attrited Customer,51,M,2,Uneducated,Single,$120K +,Blue,39,3,3,1,16868,0,940,25
Existing Customer,42,M,3,High School,Single,$40K - $60K,Blue,35,4,3,3,3266,1900,2183,56
Existing Customer,46,F,4,High School,Single,Less than $40K,Blue,40,3,2,2,3556,2172,1221,41
Existing Customer,46,M,4,Uneducated,Married,$40K - $60K,Blue,35,3,2,2,9149,1566,1790,60
Existing Customer,46,M,3,High School,Married,$60K - $80K,Blue,35,4,3,3,14701,1635,3490,69
Existing Customer,62,M,1,Graduate,Married,$60K - $80K,Blue,44,5,2,2,14825,962,1904,49
Existing Customer,55,M,2,Uneducated,Divorced,$60K - $80K,Blue,49,4,5,3,10127,1873,1647,53
Existing Customer,32,M,0,High School,Married,$40K - $60K,Blue,24,5,2,0,3735,1176,1564,41
Existing Customer,37,F,4,Uneducated,Married,Less than $40K,Blue,18,5,1,2,2930,2024,1686,34
Existing Customer,33,M,2,Post-Graduate,Married,$80K - $120K,Blue,22,3,3,3,1438.3,681,2730,48
Attrited Customer,65,M,1,High School,Married,Less than $40K,Blue,47,3,2,1,1759,0,821,18
Attrited Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,36,3,3,3,4829,2418,938,21
Existing Customer,45,F,5,Graduate,Married,Less than $40K,Blue,39,4,3,2,2156,1208,1345,28
Existing Customer,62,M,1,Uneducated,Married,$60K - $80K,Blue,36,6,3,3,9521,1669,2444,63
Existing Customer,57,M,2,Graduate,Married,$80K - $120K,Blue,47,6,2,3,2092,1387,1468,30
Existing Customer,32,F,0,Graduate,Married,Less than $40K,Blue,19,6,1,0,2834,1418,1598,39
Existing Customer,43,F,4,Graduate,Married,Less than $40K,Blue,37,4,3,2,4724,2056,1232,31
Existing Customer,53,F,1,Doctorate,Married,Less than $40K,Blue,36,3,1,2,3128,2517,2361,42
Attrited Customer,42,M,2,Uneducated,Single,$60K - $80K,Blue,30,2,2,3,6414,0,708,14
Existing Customer,53,M,3,Graduate,Single,$80K - $120K,Blue,34,6,3,0,2506,0,1687,62
Existing Customer,60,F,2,High School,Married,Less than $40K,Blue,36,4,3,2,3460,2517,1752,34
Existing Customer,30,M,1,Graduate,Married,$80K - $120K,Blue,19,5,3,2,9959,2377,1560,39
Existing Customer,43,F,3,Uneducated,Married,Less than $40K,Blue,39,4,1,2,4175,2517,1520,36
Existing Customer,60,M,1,Uneducated,Married,$60K - $80K,Blue,48,3,1,3,10264,2073,1685,45
Existing Customer,46,M,2,High School,Single,$40K - $60K,Blue,36,4,3,3,4129,0,1678,40
Existing Customer,65,F,2,High School,Married,$40K - $60K,Blue,45,6,2,2,2658,1514,1627,26
Existing Customer,48,M,2,High School,Married,$80K - $120K,Blue,39,5,1,3,8091,1996,1360,28
Existing Customer,39,M,1,Uneducated,Single,$60K - $80K,Blue,22,4,3,3,9204,845,1820,58
Existing Customer,41,M,2,Graduate,Married,$120K +,Blue,32,5,2,3,14302,2097,1505,35
Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,45,5,2,0,3187,2517,1627,38
Existing Customer,34,M,1,Graduate,Married,$80K - $120K,Blue,36,5,3,2,6313,782,1703,34
Existing Customer,54,F,0,Post-Graduate,Single,Less than $40K,Silver,39,6,2,3,11696,2288,2445,60
Existing Customer,40,M,3,Post-Graduate,Married,$80K - $120K,Blue,36,5,3,2,20371,1832,1665,45
Existing Customer,52,M,0,High School,Married,$120K +,Silver,41,3,3,1,34516,1043,1489,38
Existing Customer,45,M,3,Graduate,Single,$60K - $80K,Blue,33,3,1,3,7552,0,1393,32
Existing Customer,61,M,0,Post-Graduate,Married,$40K - $60K,Blue,53,5,1,2,5561,1434,1820,42
Existing Customer,57,F,2,High School,Married,Less than $40K,Blue,52,6,3,2,1441,0,2742,58
Existing Customer,34,M,0,High School,Married,$40K - $60K,Blue,13,3,3,2,3870,1394,1588,36
Existing Customer,49,M,4,High School,Married,$60K - $80K,Blue,36,6,3,2,12938,661,1282,32
Existing Customer,53,M,3,High School,Married,$120K +,Blue,36,3,1,3,21178,1796,1872,59
Existing Customer,34,M,2,Uneducated,Single,$80K - $120K,Blue,36,3,2,0,12182,1136,2295,63
Existing Customer,54,M,2,Graduate,Married,$60K - $80K,Blue,42,6,2,0,3583,0,1065,28
Existing Customer,40,M,3,Graduate,Single,$120K +,Blue,27,4,2,3,17018,0,1550,47
Attrited Customer,41,F,4,High School,Single,Less than $40K,Blue,36,6,2,3,4203,2517,1489,43
Existing Customer,46,M,3,Graduate,Divorced,Less than $40K,Blue,36,5,1,3,4213,997,1264,30
Existing Customer,46,M,4,Graduate,Married,$60K - $80K,Blue,33,6,2,2,21548,1180,1582,38
Existing Customer,59,M,1,Post-Graduate,Married,$40K - $60K,Blue,36,4,2,2,2483,1372,1704,35
Existing Customer,50,M,0,Doctorate,Single,$80K - $120K,Blue,38,5,2,2,3460,1881,1546,35
Existing Customer,53,F,1,High School,Single,Less than $40K,Blue,36,3,2,2,2615,1772,1419,38
Existing Customer,42,F,1,Doctorate,Married,$40K - $60K,Blue,35,4,3,2,2985,2355,1065,27
Existing Customer,46,M,5,High School,Married,$40K - $60K,Silver,28,5,1,3,18797,2158,1364,40
Existing Customer,33,M,1,Graduate,Married,$60K - $80K,Blue,22,3,1,3,2859,2517,2247,36
Existing Customer,46,F,2,Graduate,Married,Less than $40K,Blue,38,4,3,0,2888,2245,1111,26
Existing Customer,61,M,0,High School,Married,$60K - $80K,Blue,36,4,3,3,9172,1567,1836,42
Existing Customer,42,M,5,Uneducated,Married,$40K - $60K,Blue,34,5,3,2,14281,1519,1164,35
Existing Customer,47,F,4,Graduate,Single,Less than $40K,Blue,39,3,2,3,7353,1450,2005,54
Existing Customer,47,F,2,Graduate,Single,Less than $40K,Blue,36,6,2,2,5145,0,1588,35
Existing Customer,53,F,4,Graduate,Married,$40K - $60K,Blue,36,3,2,3,4753,2472,2242,49
Existing Customer,46,F,3,Graduate,Single,Less than $40K,Blue,26,3,3,3,2171,1418,1415,45
Existing Customer,45,M,3,Graduate,Married,$60K - $80K,Blue,41,6,3,3,9106,2477,1239,33
Existing Customer,36,M,2,High School,Divorced,$40K - $60K,Blue,36,3,3,2,2686,1733,2057,53
Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,36,4,3,2,34516,549,1629,32
Existing Customer,37,M,3,Graduate,Married,$120K +,Blue,25,3,3,0,15017,1733,2076,58
Existing Customer,53,M,1,Uneducated,Married,$40K - $60K,Blue,43,3,1,2,4426,1530,1231,34
Existing Customer,65,F,1,Post-Graduate,Married,$40K - $60K,Blue,52,5,3,3,2155,0,1655,27
Existing Customer,38,M,0,Uneducated,Married,$60K - $80K,Blue,19,3,1,3,3238,2146,1501,45
Existing Customer,52,M,2,High School,Married,$60K - $80K,Blue,46,5,3,0,14316,1081,1313,36
Existing Customer,36,M,3,High School,Married,$80K - $120K,Blue,36,5,3,2,2607,1880,2045,39
Existing Customer,65,F,0,Graduate,Married,Less than $40K,Blue,56,4,1,4,3094,2266,1591,37
Attrited Customer,51,F,2,Doctorate,Married,Less than $40K,Blue,41,2,2,3,6630,916,842,24
Attrited Customer,40,M,3,Graduate,Divorced,$80K - $120K,Blue,22,2,2,3,1925,0,781,28
Existing Customer,60,M,0,Uneducated,Married,$60K - $80K,Blue,47,3,3,3,9452,2517,1825,50
Existing Customer,43,F,2,Uneducated,Single,$40K - $60K,Blue,29,6,3,2,2162,1377,1555,29
Existing Customer,31,M,2,Uneducated,Married,Less than $40K,Blue,18,3,2,4,1438.3,0,2789,50
Existing Customer,55,M,1,Graduate,Single,$120K +,Blue,42,4,2,3,34516,1478,1308,41
Existing Customer,54,F,1,High School,Married,Less than $40K,Blue,44,3,3,3,3947,1746,1110,21
Existing Customer,38,F,2,High School,Married,Less than $40K,Blue,27,4,1,2,1830,0,1741,43
Existing Customer,36,M,2,Post-Graduate,Married,$60K - $80K,Blue,29,5,3,3,7712,2517,1845,40
Existing Customer,41,M,3,Graduate,Married,$120K +,Blue,31,3,3,2,11789,1420,1463,32
Existing Customer,50,M,3,High School,Divorced,$120K +,Blue,37,3,1,2,3073,1792,1734,35
Existing Customer,55,F,2,Post-Graduate,Married,$40K - $60K,Blue,46,6,2,2,6725,2025,1865,53
Attrited Customer,42,M,3,Graduate,Married,$80K - $120K,Blue,36,1,1,3,34516,781,853,12
Existing Customer,54,M,3,Graduate,Married,$120K +,Blue,46,3,1,3,34516,854,1999,54
Existing Customer,57,M,1,Uneducated,Married,$120K +,Blue,36,6,2,3,24545,1735,1671,45
Existing Customer,53,F,1,Uneducated,Married,$40K - $60K,Blue,46,5,2,3,1438.3,0,2118,64
Existing Customer,41,F,4,Uneducated,Single,Less than $40K,Blue,31,5,1,2,2490,627,1391,45
Existing Customer,39,M,1,Graduate,Single,$120K +,Blue,24,6,2,4,10074,2517,1729,52
Existing Customer,45,M,2,Graduate,Divorced,$40K - $60K,Blue,40,3,3,2,2259,954,1393,35
Existing Customer,46,M,2,Graduate,Married,$80K - $120K,Silver,35,6,3,2,34516,1236,1665,40
Existing Customer,54,M,2,High School,Married,$80K - $120K,Blue,50,4,2,3,9519,1936,2489,62
Attrited Customer,56,F,3,High School,Married,$40K - $60K,Blue,51,5,2,1,1438.3,0,594,14
Existing Customer,33,F,4,Post-Graduate,Married,$40K - $60K,Blue,36,4,2,3,2372,1887,1852,55
Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,34,5,1,2,4214,1249,1389,34
Existing Customer,62,F,1,Post-Graduate,Married,Less than $40K,Blue,53,3,1,3,1438.3,0,902,31
Existing Customer,36,F,3,High School,Married,Less than $40K,Blue,26,6,1,4,4331,1445,2053,33
Attrited Customer,61,F,0,Graduate,Married,Less than $40K,Blue,49,6,2,3,1438.3,0,840,20
Attrited Customer,35,M,2,Graduate,Married,$80K - $120K,Blue,27,3,2,3,12643,0,787,21
Existing Customer,65,F,0,High School,Married,$40K - $60K,Blue,36,5,2,3,6088,2145,2098,52
Attrited Customer,36,M,3,Post-Graduate,Married,$120K +,Blue,27,2,1,2,13873,0,694,18
Existing Customer,42,F,4,Graduate,Single,Less than $40K,Blue,32,3,2,3,6158,0,3132,66
Existing Customer,51,M,1,Uneducated,Married,$80K - $120K,Blue,41,5,3,3,5638,808,2036,50
Existing Customer,54,F,1,Uneducated,Married,Less than $40K,Blue,40,5,2,4,2178,1144,1724,47
Existing Customer,40,M,5,Graduate,Married,$80K - $120K,Blue,34,6,2,4,11942,1651,1085,29
Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,49,4,2,4,3038,1410,1762,34
Existing Customer,53,M,2,Uneducated,Married,$40K - $60K,Blue,47,3,1,3,5579,1423,1514,47
Existing Customer,40,M,2,Graduate,Married,$80K - $120K,Blue,31,5,1,2,18693,2052,1516,44
Existing Customer,28,M,0,Graduate,Married,Less than $40K,Blue,18,5,1,3,2943,1789,2591,55
Existing Customer,38,F,3,High School,Married,Less than $40K,Blue,28,4,2,3,2435,1888,1847,39
Existing Customer,37,F,2,Graduate,Married,Less than $40K,Blue,30,5,2,2,2077,1392,1629,36
Existing Customer,41,M,2,High School,Married,$60K - $80K,Blue,30,6,3,2,9428,1765,1457,43
Existing Customer,54,M,5,Graduate,Married,$80K - $120K,Blue,47,4,1,3,6065,1728,1114,27
Existing Customer,26,M,1,Graduate,Single,Less than $40K,Blue,13,3,3,2,2174,1514,2510,44
Existing Customer,46,M,3,Graduate,Divorced,$80K - $120K,Blue,40,6,3,3,3673,2292,1257,34
Existing Customer,55,M,1,Graduate,Married,$80K - $120K,Blue,36,3,2,4,34516,2102,1612,33
Existing Customer,50,F,1,Post-Graduate,Married,Less than $40K,Blue,43,3,1,3,3368,844,2022,59
Attrited Customer,38,F,2,High School,Married,$40K - $60K,Blue,28,3,2,2,7225,0,738,16
Existing Customer,39,F,3,Graduate,Single,Less than $40K,Blue,30,5,3,4,5202,815,1558,48
Existing Customer,39,M,3,High School,Single,$60K - $80K,Blue,36,4,2,3,6929,1691,1388,27
Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,44,3,3,2,4364,1507,1392,38
Existing Customer,45,F,3,Graduate,Married,Less than $40K,Blue,38,3,3,2,2400,1613,1311,34
Existing Customer,55,M,3,Graduate,Married,$80K - $120K,Blue,36,3,2,3,25878,1733,1777,54
Existing Customer,44,M,5,Graduate,Married,$120K +,Blue,24,4,1,4,11876,1926,1367,33
Existing Customer,41,M,3,Uneducated,Married,$80K - $120K,Blue,31,4,2,2,4740,1348,1406,23
Existing Customer,38,M,1,High School,Married,$80K - $120K,Blue,24,4,3,2,13363,1230,1815,33
Existing Customer,47,F,5,Post-Graduate,Married,$40K - $60K,Blue,41,6,2,2,4466,777,1757,59
Existing Customer,33,F,3,Graduate,Married,Less than $40K,Blue,25,4,1,4,3030,2517,1805,44
Existing Customer,54,F,3,Doctorate,Married,$40K - $60K,Blue,39,3,1,3,2112,1594,1338,29
Existing Customer,35,F,1,Graduate,Married,Less than $40K,Blue,18,5,1,2,7583,1619,2229,53
Existing Customer,47,M,5,Graduate,Single,$120K +,Blue,27,5,3,4,11760,2306,1498,49
Existing Customer,48,M,4,High School,Married,$80K - $120K,Blue,36,6,2,4,19762,507,2793,67
Existing Customer,36,M,4,Doctorate,Married,$60K - $80K,Blue,17,5,2,4,2803,1848,1968,64
Existing Customer,44,M,3,Graduate,Married,$80K - $120K,Blue,36,3,3,2,25666,756,4088,84
Existing Customer,36,F,1,Graduate,Married,Less than $40K,Blue,25,5,1,2,2999,1247,2017,40
Existing Customer,64,M,0,Doctorate,Married,$40K - $60K,Blue,56,3,2,2,4234,1893,1439,42
Existing Customer,34,F,1,Graduate,Single,Less than $40K,Gold,28,4,3,2,15987,0,2327,65
Existing Customer,49,M,4,Graduate,Single,$80K - $120K,Blue,33,5,5,3,16435,0,1721,56
Existing Customer,37,M,4,High School,Married,$60K - $80K,Blue,24,3,1,4,5335,2145,1888,43
Existing Customer,65,M,1,High School,Married,$40K - $60K,Blue,53,3,3,3,3506,1604,1953,61
Existing Customer,53,M,2,Post-Graduate,Married,$80K - $120K,Blue,36,5,1,2,3610,1629,1652,40
Existing Customer,32,M,0,High School,Married,$40K - $60K,Blue,28,5,1,2,3172,2055,1939,36
Existing Customer,65,M,0,Graduate,Married,Less than $40K,Blue,46,3,2,2,2416,1499,2372,53
Existing Customer,60,M,0,Graduate,Married,$40K - $60K,Blue,41,3,2,4,2458,1880,1238,30
Existing Customer,27,F,0,Graduate,Single,Less than $40K,Blue,36,6,1,2,1677,1598,2389,43
Existing Customer,52,M,2,Post-Graduate,Married,$60K - $80K,Blue,45,4,1,4,11819,929,2431,46
Existing Customer,29,M,0,Graduate,Married,$40K - $60K,Blue,36,3,3,4,1459,590,2229,52
Existing Customer,29,M,0,High School,Married,$40K - $60K,Blue,13,4,1,4,1458,671,2449,56
Existing Customer,38,M,2,High School,Married,$40K - $60K,Blue,32,3,2,2,1438.3,0,1999,39
Attrited Customer,36,M,2,Graduate,Married,$40K - $60K,Blue,18,3,1,3,7758,1408,569,23
Existing Customer,40,F,2,Post-Graduate,Married,Less than $40K,Silver,30,4,2,2,10836,1932,1293,31
Existing Customer,47,M,3,Post-Graduate,Single,$60K - $80K,Blue,36,5,3,3,5062,1996,1314,40
Existing Customer,26,M,0,High School,Single,$40K - $60K,Blue,36,5,2,2,2212,1670,2520,51
Existing Customer,52,F,1,Graduate,Single,Less than $40K,Blue,32,3,1,3,5927,2320,1558,46
Existing Customer,50,M,2,Graduate,Married,$80K - $120K,Blue,37,3,1,3,3126,0,1388,41
Existing Customer,34,M,3,Graduate,Divorced,$80K - $120K,Blue,21,6,4,2,4670,0,2256,56
Existing Customer,49,M,3,High School,Married,$80K - $120K,Blue,42,4,1,2,10155,1805,1685,49
Existing Customer,53,M,4,High School,Married,$80K - $120K,Blue,46,4,2,3,15242,1170,1876,57
Existing Customer,48,M,3,Doctorate,Divorced,$120K +,Blue,36,4,3,2,34516,2517,1699,48
Existing Customer,32,F,2,Graduate,Single,Less than $40K,Blue,17,5,1,2,1438.3,1228,2580,67
Existing Customer,38,M,4,High School,Single,$80K - $120K,Gold,36,6,1,3,34516,1140,1445,45
Existing Customer,43,M,4,Uneducated,Single,$80K - $120K,Blue,32,4,1,3,16043,2036,1394,28
Attrited Customer,51,F,2,Graduate,Single,Less than $40K,Blue,44,6,3,2,3181,2517,818,16
Existing Customer,58,M,3,Graduate,Married,$120K +,Blue,47,3,1,2,27088,0,1135,24
Existing Customer,59,F,0,Graduate,Married,Less than $40K,Blue,36,5,3,4,5688,914,1824,53
Existing Customer,51,M,4,High School,Married,$60K - $80K,Blue,38,5,2,3,10462,1824,1267,31
Attrited Customer,62,F,1,High School,Married,$40K - $60K,Blue,53,2,1,1,5249,0,1315,31
Existing Customer,33,M,1,Uneducated,Married,$120K +,Blue,16,6,1,3,10705,1352,2434,58
Existing Customer,54,M,3,High School,Single,$80K - $120K,Blue,47,3,1,2,16494,1348,1302,36
Existing Customer,37,F,1,Graduate,Married,$40K - $60K,Blue,30,5,3,4,6469,2351,1717,50
Existing Customer,61,M,0,High School,Married,$80K - $120K,Blue,50,4,1,3,2800,2448,1433,40
Existing Customer,56,M,1,Doctorate,Married,$60K - $80K,Blue,46,5,2,4,5248,1816,2305,45
Existing Customer,51,F,3,Post-Graduate,Married,Less than $40K,Blue,46,5,3,2,5881,2005,1931,56
Existing Customer,44,F,3,Graduate,Divorced,Less than $40K,Blue,36,6,3,3,1467,896,1731,54
Existing Customer,64,F,1,Uneducated,Married,$40K - $60K,Blue,52,6,2,2,4999,2299,1601,48
Existing Customer,38,F,1,Uneducated,Single,Less than $40K,Blue,27,6,3,4,8638,0,1295,29
Existing Customer,53,M,1,Uneducated,Married,$120K +,Blue,45,5,1,3,9343,1286,1385,31
Existing Customer,35,M,2,Post-Graduate,Married,$40K - $60K,Blue,21,3,1,3,2256,775,1749,33
Existing Customer,32,M,2,High School,Single,$40K - $60K,Blue,20,6,3,4,2235,1638,2905,56
Existing Customer,36,M,1,Uneducated,Married,$40K - $60K,Blue,16,5,3,2,3735,2027,1672,48
Existing Customer,52,M,2,Graduate,Married,$80K - $120K,Blue,42,5,3,2,21782,1006,1537,35
Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,36,6,3,3,2133,1469,1426,37
Existing Customer,58,F,1,Doctorate,Single,$40K - $60K,Silver,47,5,2,4,16677,1590,1410,37
Existing Customer,38,F,2,Graduate,Married,Less than $40K,Blue,36,6,3,4,2717,1591,2064,33
Existing Customer,60,M,1,Graduate,Single,Less than $40K,Blue,48,5,3,3,3980,930,4449,82
Existing Customer,35,M,3,Post-Graduate,Single,$80K - $120K,Silver,29,5,3,2,34516,1872,2227,61
Existing Customer,38,F,4,Graduate,Married,Less than $40K,Blue,36,4,3,3,1860,0,1731,29
Existing Customer,36,F,2,Post-Graduate,Married,Less than $40K,Blue,25,5,3,4,4701,1492,1679,32
Existing Customer,48,F,2,Uneducated,Married,$40K - $60K,Blue,36,3,3,2,5210,0,1309,45
Existing Customer,44,M,4,Graduate,Married,$40K - $60K,Blue,38,5,2,3,5452,2091,1347,30
Existing Customer,38,M,1,Graduate,Married,$60K - $80K,Blue,31,6,3,3,7475,1473,1592,30
Existing Customer,62,M,1,High School,Married,$40K - $60K,Blue,56,5,3,3,2359,1242,2021,50
Existing Customer,64,F,1,High School,Married,$40K - $60K,Blue,56,4,2,4,1438.3,0,1417,35
Existing Customer,43,M,2,High School,Divorced,$80K - $120K,Blue,31,6,2,4,34516,1075,3015,65
Existing Customer,40,M,5,Graduate,Single,$60K - $80K,Blue,27,6,1,2,2742,1416,1539,38
Existing Customer,54,M,1,High School,Married,$60K - $80K,Blue,36,4,1,4,20050,1225,1306,26
Existing Customer,34,F,4,High School,Single,Less than $40K,Blue,30,4,1,3,3046,2279,2330,69
Existing Customer,33,F,1,High School,Single,Less than $40K,Blue,25,6,3,4,6193,695,2456,69
Existing Customer,36,M,2,Graduate,Married,$80K - $120K,Blue,28,5,3,3,5634,1996,2366,49
Existing Customer,65,M,1,Graduate,Married,Less than $40K,Blue,50,6,2,4,4507,1574,1793,38
Existing Customer,43,M,3,High School,Single,$40K - $60K,Blue,33,5,2,3,3040,2517,1598,31
Existing Customer,53,M,0,Graduate,Married,$120K +,Blue,33,4,3,3,21006,1905,1856,57
Attrited Customer,39,F,3,High School,Single,Less than $40K,Blue,36,6,1,3,3651,0,862,19
Existing Customer,48,M,3,Graduate,Married,$60K - $80K,Blue,42,6,1,3,6085,930,3154,59
Existing Customer,51,M,2,High School,Married,$60K - $80K,Blue,38,5,3,2,22332,1748,1318,28
Existing Customer,38,F,2,Graduate,Married,Less than $40K,Blue,32,5,3,3,4429,0,1970,40
Existing Customer,35,M,3,Graduate,Married,$60K - $80K,Blue,26,6,3,2,3991,1982,1661,35
Existing Customer,46,F,3,Doctorate,Single,Less than $40K,Blue,36,5,1,4,2201,651,3165,65
Existing Customer,49,F,2,Uneducated,Married,Less than $40K,Blue,37,6,3,3,9723,2459,1258,24
Existing Customer,35,M,4,High School,Married,$40K - $60K,Blue,27,6,2,3,5325,1318,1814,43
Existing Customer,54,F,2,Uneducated,Married,Less than $40K,Blue,44,3,1,3,5413,1836,1164,43
Existing Customer,50,M,0,High School,Married,$80K - $120K,Blue,30,3,4,2,4252,0,1598,45
Existing Customer,54,F,3,Graduate,Married,Less than $40K,Blue,49,5,2,4,2031,1069,1943,47
Existing Customer,39,M,1,High School,Married,$80K - $120K,Blue,28,4,2,4,3327,0,1665,36
Existing Customer,53,M,2,High School,Married,$120K +,Blue,41,4,3,3,7272,2037,2333,56
Existing Customer,57,F,3,Uneducated,Married,Less than $40K,Blue,47,5,3,3,2515,1922,2231,58
Existing Customer,65,F,0,High School,Married,Less than $40K,Blue,36,3,2,2,2798,1806,1543,35
Existing Customer,57,M,2,Uneducated,Single,$80K - $120K,Blue,53,5,2,4,34516,2099,1233,26
Existing Customer,65,M,0,High School,Single,Less than $40K,Silver,56,4,2,4,12609,2517,2121,49
Existing Customer,44,M,4,High School,Single,$120K +,Blue,37,5,3,3,8396,1672,1475,35
